category,permission,input_text,label,label_float,reason
Social Media,Location,Social Media app requesting Location permission.,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Location,Permission: Location | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Location,Social Media applications may interact with Location.,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Location,Social Media app requesting Location permission.,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Location,Permission: Location | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Location,The application falls under Social Media and asks for Location.,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Location,Social Media app requesting Location permission.,Unjustified,0.0,"Social Media apps typically do not need access to Location for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Personal info,Social Media app requesting Personal info permission.,Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Personal info,Social Media applications may interact with Personal info.,Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Personal info,Social Media app requesting Personal info permission.,Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Personal info,Social Media applications may interact with Personal info.,Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Personal info,"For a Social Media app, permission requested: Personal info.",Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Personal info,Social Media applications may interact with Personal info.,Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Personal info,Category: Social Media. Needed permission: Personal info.,Justified,1.0,"Social Media apps often require access to Personal info to support their core functionality. This permission directly contributes to essential app operations. Therefore, it is considered justified."
Social Media,Financial info,Social Media app requesting Financial info permission.,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Financial info,Permission: Financial info | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Financial info,The application falls under Social Media and asks for Financial info.,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Financial info,Social Media app requesting Financial info permission.,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
Social Media,Financial info,Permission: Financial info | Category: Social Media,Unjustified,0.0,"Social Media apps typically do not need access to Financial info for their primary functionality. Although some edge cases may exist, this permission is generally non-essential. Therefore, it is considered unjustified."
